DISPCNT write val=0x200 at scanline=150 cyc=466454 PC=0x80027fa
DISPCNT write val=0x1040 at scanline=7 cyc=98322319 PC=0x800af46
DISPCNT write val=0x1140 at scanline=9 cyc=98324785 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=15 cyc=98332175 PC=0x800af46
DISPCNT write val=0x1140 at scanline=18 cyc=98335873 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=23 cyc=98342031 PC=0x800af46
DISPCNT write val=0x1140 at scanline=27 cyc=98346965 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=31 cyc=98351897 PC=0x800af46
DISPCNT write val=0x1140 at scanline=36 cyc=98358053 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=39 cyc=98361753 PC=0x800af46
DISPCNT write val=0x1140 at scanline=45 cyc=98369141 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=47 cyc=98371609 PC=0x800af46
DISPCNT write val=0x1140 at scanline=55 cyc=98381461 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=63 cyc=98391314 PC=0x800af46
DISPCNT write val=0x1140 at scanline=64 cyc=98392559 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=71 cyc=98401170 PC=0x800af46
DISPCNT write val=0x1140 at scanline=73 cyc=98403647 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=79 cyc=98411026 PC=0x800af46
DISPCNT write val=0x1140 at scanline=82 cyc=98414735 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=87 cyc=98420882 PC=0x800af46
DISPCNT write val=0x1140 at scanline=91 cyc=98425817 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=95 cyc=98430745 PC=0x800af46
DISPCNT write val=0x1140 at scanline=100 cyc=98436905 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=103 cyc=98440601 PC=0x800af46
DISPCNT write val=0x1140 at scanline=109 cyc=98447993 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=111 cyc=98450457 PC=0x800af46
DISPCNT write val=0x1140 at scanline=119 cyc=98460313 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=127 cyc=98470166 PC=0x800af46
DISPCNT write val=0x1140 at scanline=129 cyc=98472639 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=136 cyc=98481254 PC=0x800af46
DISPCNT write val=0x1140 at scanline=138 cyc=98483727 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=144 cyc=98491110 PC=0x800af46
